Model,Precision,Recall,F1 Score
Isolation Forest,0.12087912087912088,0.12222222222222222,0.12154696132596685
Logistic Regression,0.8653846153846154,0.5,0.6338028169014085
Random Forest,0.9850746268656716,0.7333333333333333,0.8407643312101911
